url,page,store,brand,tech,size,resolution,price
https://www.bestbuy.com/site/tcl-32-class-led-3-series-1080p-smart-hdtv-roku-tv/6280538.p?skuId=6280538,1,Best Buy,TCL,LED,32,1080p,Your price for this item is $149.99
https://www.bestbuy.com/site/toshiba-43-class-led-2160p-smart-4k-uhd-tv-with-hdr-fire-tv-edition/6194907.p?skuId=6194907,1,Best Buy,Toshiba,LED,43,4K,Your price for this item is $199.99
https://www.bestbuy.com/site/insignia-39-class-led-1080p-smart-hdtv-fire-tv-edition/6247247.p?skuId=6247247,1,Best Buy,Insignia™,LED,39,1080p,Your price for this item is $169.99
https://www.bestbuy.com/site/insignia-50-class-led-2160p-smart-4k-uhd-tv-with-hdr-fire-tv-edition/6245704.p?skuId=6245704,1,Best Buy,Insignia™,LED,50,4K,Your price for this item is $249.99
https://www.bestbuy.com/site/hisense-65-class-led-r7-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6346743.p?skuId=6346743,1,Best Buy,Hisense,LED,65,4K,Your price for this item is $399.99
https://www.bestbuy.com/site/samsung-55-class-led-nu6900-series-2160p-smart-4k-uhd-tv-with-hdr/6268404.p?skuId=6268404,1,Best Buy,Samsung,LED,55,4K,Your price for this item is $379.99
https://www.bestbuy.com/site/insignia-55-class-led-2160p-smart-4k-uhd-tv-with-hdr-fire-tv-edition/6245800.p?skuId=6245800,1,Best Buy,Insignia™,LED,55,4K,Your price for this item is $299.99
https://www.bestbuy.com/site/lg-55-class-led-uk6090pua-series-2160p-smart-4k-uhd-tv-with-hdr/6290171.p?skuId=6290171,1,Best Buy,LG,LED,55,4K,Your price for this item is $379.99
https://www.bestbuy.com/site/toshiba-32-class-led-720p-smart-hdtv-fire-tv-edition/6211003.p?skuId=6211003,1,Best Buy,Toshiba,LED,32,720p,Your price for this item is $129.99
https://www.bestbuy.com/site/samsung-65-class-led-7-series-2160p-smart-4k-uhd-tv-with-hdr/6325561.p?skuId=6325561,1,Best Buy,Samsung,LED,65,4K,Your price for this item is $699.99
https://www.bestbuy.com/site/insignia-24-class-led-720p-smart-hdtv-fire-tv-edition/6247347.p?skuId=6247347,1,Best Buy,Insignia™,LED,24,720p,Your price for this item is $99.99
https://www.bestbuy.com/site/samsung-43-class-led-nu6900-series-2160p-smart-4k-uhd-tv-with-hdr/6268402.p?skuId=6268402,1,Best Buy,Samsung,LED,43,4K,Your price for this item is $279.99
https://www.bestbuy.com/site/samsung-65-class-led-nu6900-series-2160p-smart-4k-uhd-tv-with-hdr/6268405.p?skuId=6268405,1,Best Buy,Samsung,LED,65,4K,Your price for this item is $549.99
https://www.bestbuy.com/site/toshiba-32-class-led-720p-hdtv/6321765.p?skuId=6321765,1,Best Buy,Toshiba,LED,32,720p,Your price for this item is $99.99
https://www.bestbuy.com/site/samsung-50-class-led-nu6900-series-2160p-smart-4k-uhd-tv-with-hdr/6268403.p?skuId=6268403,1,Best Buy,Samsung,LED,50,4K,Your price for this item is $329.99
https://www.bestbuy.com/site/toshiba-55-class-led-2160p-smart-4k-uhd-tv-with-hdr-fire-tv-edition/6318315.p?skuId=6318315,1,Best Buy,Toshiba,LED,55,4K,Your price for this item is $329.99
https://www.bestbuy.com/site/insignia-40-class-led-1080p-hdtv/6261176.p?skuId=6261176,1,Best Buy,Insignia™,LED,40,1080p,Your price for this item is $149.99
https://www.bestbuy.com/site/samsung-43-class-led-7-series-2160p-smart-4k-uhd-tv-with-hdr/6323703.p?skuId=6323703,1,Best Buy,Samsung,LED,43,4K,Your price for this item is $329.99
https://www.bestbuy.com/site/samsung-32-class-led-n5300-series-1080p-smart-hdtv/6202106.p?skuId=6202106,1,Best Buy,Samsung,LED,32,1080p,Your price for this item is $249.99
https://www.bestbuy.com/site/sharp-58-class-led-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6296543.p?skuId=6296543,1,Best Buy,Sharp,LED,58,4K,Your price for this item is $329.99
https://www.bestbuy.com/site/samsung-50-class-led-7-series-2160p-smart-4k-uhd-tv-with-hdr/6323733.p?skuId=6323733,1,Best Buy,Samsung,LED,50,4K,Your price for this item is $399.99
https://www.bestbuy.com/site/insignia-19-class-led-720p-hdtv/6164904.p?skuId=6164904,1,Best Buy,Insignia™,LED,19,720p,Your price for this item is $59.99
https://www.bestbuy.com/site/vizio-32-class-led-d-series-1080p-smart-hdtv/6202310.p?skuId=6202310,1,Best Buy,VIZIO,LED,32,1080p,Your price for this item is $169.99
https://www.bestbuy.com/site/tcl-43-class-led-5-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6202780.p?skuId=6202780,1,Best Buy,TCL,LED,43,4K,Your price for this item is $249.99
https://www.bestbuy.com/site/lg-32-class-led-720p-smart-hdtv-with-hdr/6334011.p?skuId=6334011,2,Best Buy,LG,LED,32,720p,Your price for this item is $139.99
https://www.bestbuy.com/site/lg-43-class-led-um7300pua-series-2160p-smart-4k-uhd-tv-with-hdr/6334015.p?skuId=6334015,2,Best Buy,LG,LED,43,4K,Your price for this item is $319.99
https://www.bestbuy.com/site/vizio-24-class-led-d-series-1080p-smart-hdtv/6032516.p?skuId=6032516,2,Best Buy,VIZIO,LED,24,1080p,Your price for this item is $129.99
